Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberofThroughputPlants,PercentageOfThroughput
Broiler,Conditions,Abnormal colour/fevered,2009-06,England,11,10000,1,0.110
Broiler,Conditions,Cellulitis,2009-06,England,5,10000,1,0.050
Broiler,Conditions,Death other than slaughter (uncut/badly bled),2009-06,England,5,10000,1,0.050
Broiler,Conditions,Joint Lesions,2009-06,England,5,10000,1,0.050
Broiler,Conditions,Overscald,2009-06,England,11,10000,1,0.110
Broiler,Conditions,Salpingitis,2009-06,England,8,10000,1,0.080
Broiler,Conditions,Tumours/nodules,2009-06,England,5,10000,1,0.050
Broiler,Conditions,Abnormal colour/fevered,2009-07,England,385,184431,2,0.209
Broiler,Conditions,Antemortem rejects (cull/ runts),2009-07,England,10,184431,2,0.005
Broiler,Conditions,Ascites/Oedema,2009-07,England,309,184431,2,0.168
Broiler,Conditions,Bruising/Fractures,2009-07,England,24,184431,2,0.013
Broiler,Conditions,Cellulitis,2009-07,England,150,184431,2,0.081
Broiler,Conditions,Contamination,2009-07,England,60,184431,2,0.033
Broiler,Conditions,Dead on Arrival/ Death in the lairage (DOA),2009-07,England,179,184431,2,0.097
Broiler,Conditions,Death other than slaughter (uncut/badly bled),2009-07,England,15,184431,2,0.008
Broiler,Conditions,Dermatitis,2009-07,England,28,184431,2,0.015
Broiler,Conditions,Emaciation,2009-07,England,100,184431,2,0.054
Broiler,Conditions,Hepatitis,2009-07,England,339,184431,2,0.184
Broiler,Conditions,Joint Lesions,2009-07,England,9,184431,2,0.005
Broiler,Conditions,Machine Damage,2009-07,England,326,184431,2,0.177
Broiler,Conditions,"Other factory (poor plucking, product requirements not met)",2009-07,England,16,184431,2,0.009
Broiler,Conditions,"Other farm (Jaundice, Oregon, white muscle, congenital malformations)",2009-07,England,8,184431,2,0.004
Broiler,Conditions,Overscald,2009-07,England,9,184431,2,0.005
Broiler,Conditions,Pericarditis,2009-07,England,92,184431,2,0.050
Broiler,Conditions,Perihepatitis/peritonitis,2009-07,England,261,184431,2,0.142
Broiler,Conditions,Respiratory disease (air sacculitis),2009-07,England,49,184431,2,0.027
Broiler,Conditions,Salpingitis,2009-07,England,11,184431,2,0.006
